CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Portsmouth, OH",39020,23/05/2022,23.0,Good,PM2.5,39-145-0015,6
"Hobbs, NM",26020,18/06/2022,59.0,Moderate,PM2.5,35-025-0008,1
"Hailey, ID",25200,4/06/2022,13.0,Good,PM2.5,16-013-0004,1
"Albany-Schenectady-Troy, NY",10580,6/03/2022,54.0,Moderate,PM2.5,36-001-0005,3
"Effingham, IL",20820,16/05/2022,51.0,Moderate,Ozone,17-049-1001,1
"Phoenix-Mesa-Scottsdale, AZ",38060,1/04/2022,71.0,Moderate,Ozone,04-013-4010,44
"Shreveport-Bossier City, LA",43340,11/02/2022,71.0,Moderate,Ozone,22-017-0001,2
"Prescott, AZ",39140,9/04/2022,47.0,Good,Ozone,04-025-8034,1
"Alexandria, LA",10780,26/01/2022,17.0,Good,PM2.5,22-079-0002,1
"Espa¤ola, NM",21580,1/01/2022,39.0,Good,Ozone,35-039-0026,1
"Centralia, WA",16500,20/03/2022,12.0,Good,PM2.5,53-041-0004,1
"Bismarck, ND",13900,4/07/2022,58.0,Moderate,PM2.5,38-015-0003,2
"Pittsfield, MA",38340,3/03/2022,37.0,Good,Ozone,25-003-0008,2
"Greenville, NC",24780,22/08/2022,28.0,Good,Ozone,37-147-0006,1
"South Bend-Mishawaka, IN-MI",43780,23/05/2022,40.0,Good,Ozone,18-141-0015,4
"Adrian, MI",10300,17/01/2022,43.0,Good,PM2.5,26-091-0007,1
"Duluth, MN-WI",20260,12/05/2022,36.0,Good,Ozone,27-017-7417,4
"Huntsville, AL",26620,10/03/2022,41.0,Good,Ozone,01-089-0014,3
"Williamsport, PA",48700,15/01/2022,28.0,Good,,42-081-0419,1
"Dallas-Fort Worth-Arlington, TX",19100,10/07/2022,93.0,Moderate,Ozone,48-251-0003,21
"Clinton, IA",17540,7/04/2022,30.0,Good,Ozone,19-045-0021,2
"Twin Falls, ID",46300,25/03/2022,25.0,Good,PM2.5,16-083-0007,1
"Dover, DE",20100,17/02/2022,38.0,Good,Ozone,10-001-0002,2
"Prineville, OR",39260,2/05/2022,4.0,Good,PM2.5,41-013-0100,1
"Hickory-Lenoir-Morganton, NC",25860,13/01/2022,63.0,Moderate,PM2.5,37-035-0004,1
"Niles-Benton Harbor, MI",35660,17/05/2022,28.0,Good,Ozone,26-021-0014,1
"Erie, PA",21500,14/08/2022,25.0,Good,,42-049-0003,1
"Bellingham, WA",13380,9/04/2022,38.0,Good,,53-073-0005,1
"Morgantown, WV",34060,3/03/2022,35.0,Good,Ozone,54-061-0003,1
"Roanoke Rapids, NC",40260,20/03/2022,2.0,Good,PM2.5,37-131-0003,1
"Meridian, MS",32940,23/08/2022,15.0,Good,Ozone,28-075-0003,1
"Lima, OH",30620,8/06/2022,46.0,Good,Ozone,39-003-0009,1
"Homosassa Springs, FL",26140,21/06/2022,33.0,Good,PM2.5,12-017-0006,1
"Rocky Mount, NC",40580,13/08/2022,40.0,Good,Ozone,37-065-0099,1
"Ogden-Clearfield, UT",36260,19/09/2022,48.0,Good,,49-057-1003,2
"Boise City, ID",14260,5/05/2022,39.0,Good,Ozone,16-001-0017,7
"Florence, SC",22500,20/06/2022,54.0,Moderate,Ozone,45-031-0003,2
"Springfield, MO",44180,8/03/2022,44.0,Good,PM2.5,29-077-0036,2
"Laramie, WY",29660,28/03/2022,58.0,Moderate,PM10,56-001-0800,7
"Muncie, IN",34620,25/04/2022,31.0,Good,Ozone,18-035-0010,1
"Champaign-Urbana, IL",16580,28/09/2022,22.0,Good,Ozone,17-019-0007,2
"Cleveland, MS",17380,21/01/2022,31.0,Good,,28-011-0002,1
"Rapid City, SD",39660,22/06/2022,61.0,Moderate,Ozone,46-033-0132,3
"Madison, WI",31540,28/07/2022,32.0,Good,Ozone,55-025-0041,3
"La Crosse-Onalaska, WI-MN",29100,23/09/2022,24.0,Good,Ozone,55-063-0012,1
"La Grande, OR",29260,13/03/2022,18.0,Good,PM2.5,41-061-0123,2
"Salinas, CA",41500,22/05/2022,52.0,Moderate,PM2.5,06-053-0008,3
"Albany, OR",10540,13/01/2022,33.0,Good,PM2.5,41-043-2002,3
"Portland-Vancouver-Hillsboro, OR-WA",38900,22/02/2022,33.0,Good,Ozone,41-067-0005,9
"Traverse City, MI",45900,29/06/2022,,Good,Ozone,26-019-0003,1
"Farmington, NM",22140,13/05/2022,48.0,Good,Ozone,35-045-1005,5
"St. Marys, PA",41260,22/01/2022,33.0,Good,Ozone,42-047-9991,1
"Columbia, MO",17860,23/05/2022,41.0,Good,Ozone,29-019-0011,1
"Lansing-East Lansing, MI",29620,26/02/2022,33.0,Good,PM2.5,26-065-0018,1
"Lawton, OK",30020,8/02/2022,17.0,Good,PM2.5,40-031-0651,1
"Hickory-Lenoir-Morganton, NC",25860,7/02/2022,49.0,Good,PM2.5,37-035-0004,1
"Muskegon, MI",34740,1/03/2022,42.0,Good,Ozone,26-121-0039,1
"Wausau, WI",48140,9/07/2022,30.0,Good,Ozone,55-073-0012,1
"Fairbanks, AK",21820,23/05/2022,36.0,Good,Ozone,02-090-0034,3
"Cheyenne, WY",16940,28/01/2022,,Good,Ozone,56-021-0100,1
"Indianapolis-Carmel-Anderson, IN",26900,20/02/2022,40.0,Good,Ozone,18-013-0001,13
"Farmington, NM",22140,12/03/2022,42.0,Good,Ozone,35-045-0018,5
"Bend-Redmond, OR",13460,20/06/2022,12.0,Good,PM2.5,41-017-0004,2
"Corning, NY",18500,20/01/2022,36.0,Good,Ozone,36-101-0003,1
"Owensboro, KY",36980,29/05/2022,46.0,Good,Ozone,21-091-0012,2
"Omaha-Council Bluffs, NE-IA",36540,13/03/2022,42.0,Good,Ozone,19-085-0007,6
"Moscow, ID",34140,25/03/2022,0.0,Good,PM2.5,16-057-0005,1
"Ca¤on City, CO",15860,1/07/2022,,Good,PM10,08-043-0003,1
"Tyler, TX",46340,17/08/2022,40.0,Good,Ozone,48-423-0007,1
"Eau Claire, WI",20740,14/09/2022,,Good,,55-035-0014,1
"Brunswick, GA",15260,2/06/2022,35.0,Good,Ozone,13-127-0006,1
"Rock Springs, WY",40540,22/06/2022,54.0,Moderate,Ozone,56-037-0300,21
"Vincennes, IN",47180,16/01/2022,27.0,Good,Ozone,18-083-9991,1
"Shelton, WA",43220,27/07/2022,16.0,Good,PM2.5,53-045-0007,1
